BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Male,30-34 years,75845
Gender and Age Group,Male,35-39 years,67740
Gender and Age Group,Male,40-44 years,59310
Gender and Age Group,Male,45-49 years,63495
Gender and Age Group,Male,50-54 years,64295
Gender and Age Group,Male,55-59 years,62295
Gender and Age Group,Male,60-64 years,52340
Gender and Age Group,Male,65-69 years,48215
Gender and Age Group,Male,70-74 years,53495
Gender and Age Group,Male,75-79 years,47705
Gender and Age Group,Male,80-84 years,43800
Gender and Age Group,Male,85-89 years,30400
Gender and Age Group,Male,90-94 years,13495
Gender and Age Group,Male,95 years or older,3275
Gender and Age Group,Male,Unknown,3430
Gender and Age Group,Female,0 years,5092906
Gender and Age Group,Female,01-04 years,12063729
Gender and Age Group,Female,05-09 years,8060740
Gender and Age Group,Female,10-14 years,9418528
Gender and Age Group,Female,15-19 years,11705651
Gender and Age Group,Female,20-24 years,14607114
Gender and Age Group,Female,25-29 years,14935680
Gender and Age Group,Female,30-34 years,14206024
Gender and Age Group,Female,35-39 years,12139352
Gender and Age Group,Female,40-44 years,10273092
Gender and Age Group,Female,45-49 years,11224824
Gender and Age Group,Female,50-54 years,12018810
Gender and Age Group,Female,55-59 years,11892341
Gender and Age Group,Female,60-64 years,10729867
Gender and Age Group,Female,65-69 years,10697780
Gender and Age Group,Female,70-74 years,12914876
Gender and Age Group,Female,75-79 years,13430939
Gender and Age Group,Female,80-84 years,14422489
Gender and Age Group,Female,85-89 years,12553361
Gender and Age Group,Female,90-94 years,7340044
Gender and Age Group,Female,95 years or older,2697496
Gender and Age Group,Female,Unknown,1084895
Gender and Age Group,Male,0 years,6427432
Gender and Age Group,Male,01-04 years,15592792
Gender and Age Group,Male,05-09 years,9713866
Gender and Age Group,Male,10-14 years,11061208
Gender and Age Group,Male,15-19 years,10013153
Gender and Age Group,Male,20-24 years,11921808
Gender and Age Group,Male,25-29 years,12697833
Gender and Age Group,Male,30-34 years,12501420
Gender and Age Group,Male,35-39 years,11455788
Gender and Age Group,Male,40-44 years,10460031
Gender and Age Group,Male,45-49 years,11796628
Gender and Age Group,Male,50-54 years,12500716
Gender and Age Group,Male,55-59 years,12693483
Gender and Age Group,Male,60-64 years,11502179
Gender and Age Group,Male,65-69 years,11340111
Gender and Age Group,Male,70-74 years,13438806
Gender and Age Group,Male,75-79 years,12686302
Gender and Age Group,Male,80-84 years,12241836
Gender and Age Group,Male,85-89 years,8870499
Gender and Age Group,Male,90-94 years,4111463
Gender and Age Group,Male,95 years or older,1047396
Gender and Age Group,Male,Unknown,931516
Gender and Age Group,Female,0 years,38770
Gender and Age Group,Female,01-04 years,96495
Gender and Age Group,Female,05-09 years,66925
Gender and Age Group,Female,10-14 years,71695
Gender and Age Group,Female,15-19 years,99165
Gender and Age Group,Female,20-24 years,122695
Gender and Age Group,Female,25-29 years,113370
Gender and Age Group,Female,30-34 years,102275
Gender and Age Group,Female,35-39 years,87360
Gender and Age Group,Female,40-44 years,71865
Gender and Age Group,Female,45-49 years,78785
Gender and Age Group,Female,50-54 years,84230
Gender and Age Group,Female,55-59 years,79500
Gender and Age Group,Female,60-64 years,69080
Gender and Age Group,Female,65-69 years,62370
Gender and Age Group,Female,70-74 years,72470
Gender and Age Group,Female,75-79 years,68890
Gender and Age Group,Female,80-84 years,71230
Gender and Age Group,Female,85-89 years,59450
Gender and Age Group,Female,90-94 years,33275
Gender and Age Group,Female,95 years or older,12105
Gender and Age Group,Female,Unknown,31025
Gender and Age Group,Male,0 years,48025
Gender and Age Group,Male,01-04 years,123430
Gender and Age Group,Male,05-09 years,78040
Gender and Age Group,Male,10-14 years,84025
Gender and Age Group,Male,15-19 years,81310
Gender and Age Group,Male,20-24 years,100245
Gender and Age Group,Male,25-29 years,100755
Gender and Age Group,Male,30-34 years,95350
Gender and Age Group,Male,35-39 years,84895
Gender and Age Group,Male,40-44 years,73595
