BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Male,45-49 years,78425
Gender and Age Group,Male,50-54 years,79760
Gender and Age Group,Male,55-59 years,77130
Gender and Age Group,Male,60-64 years,68480
Gender and Age Group,Male,65-69 years,61995
Gender and Age Group,Male,70-74 years,69405
Gender and Age Group,Male,75-79 years,60630
Gender and Age Group,Male,80-84 years,58220
Gender and Age Group,Male,85-89 years,41625
Gender and Age Group,Male,90-94 years,19215
Gender and Age Group,Male,95 years or older,4940
Gender and Age Group,Male,Unknown,29920
Gender and Age Group,Female,0 years,4234438
Gender and Age Group,Female,01-04 years,11045961
Gender and Age Group,Female,05-09 years,7782944
Gender and Age Group,Female,10-14 years,8945864
Gender and Age Group,Female,15-19 years,13902206
Gender and Age Group,Female,20-24 years,16595651
Gender and Age Group,Female,25-29 years,16043259
Gender and Age Group,Female,30-34 years,14936926
Gender and Age Group,Female,35-39 years,13275787
Gender and Age Group,Female,40-44 years,11152564
Gender and Age Group,Female,45-49 years,12878415
Gender and Age Group,Female,50-54 years,14065792
Gender and Age Group,Female,55-59 years,13871569
Gender and Age Group,Female,60-64 years,12882087
Gender and Age Group,Female,65-69 years,12475367
Gender and Age Group,Female,70-74 years,15763553
Gender and Age Group,Female,75-79 years,16181939
Gender and Age Group,Female,80-84 years,18034315
Gender and Age Group,Female,85-89 years,16038499
Gender and Age Group,Female,90-94 years,9485993
Gender and Age Group,Female,95 years or older,3490625
Gender and Age Group,Female,Unknown,4268755
Gender and Age Group,Male,0 years,5342762
Gender and Age Group,Male,01-04 years,14358001
Gender and Age Group,Male,05-09 years,9223934
Gender and Age Group,Male,10-14 years,10903088
Gender and Age Group,Male,15-19 years,11908883
Gender and Age Group,Male,20-24 years,14121942
Gender and Age Group,Male,25-29 years,14704024
Gender and Age Group,Male,30-34 years,14325527
Gender and Age Group,Male,35-39 years,13113310
Gender and Age Group,Male,40-44 years,11908766
Gender and Age Group,Male,45-49 years,13220576
Gender and Age Group,Male,50-54 years,14030383
Gender and Age Group,Male,55-59 years,14108994
Gender and Age Group,Male,60-64 years,13477042
Gender and Age Group,Male,65-69 years,13201419
Gender and Age Group,Male,70-74 years,15713971
Gender and Age Group,Male,75-79 years,14724905
Gender and Age Group,Male,80-84 years,14884109
Gender and Age Group,Male,85-89 years,11255837
Gender and Age Group,Male,90-94 years,5402072
Gender and Age Group,Male,95 years or older,1411552
Gender and Age Group,Male,Unknown,4095464
Gender and Age Group,Female,0 years,49750
Gender and Age Group,Female,01-04 years,101335
Gender and Age Group,Female,05-09 years,64800
Gender and Age Group,Female,10-14 years,57990
Gender and Age Group,Female,15-19 years,72460
Gender and Age Group,Female,20-24 years,115580
Gender and Age Group,Female,25-29 years,133020
Gender and Age Group,Female,30-34 years,122840
Gender and Age Group,Female,35-39 years,103875
Gender and Age Group,Female,40-44 years,87180
Gender and Age Group,Female,45-49 years,83210
Gender and Age Group,Female,50-54 years,85820
Gender and Age Group,Female,55-59 years,77430
Gender and Age Group,Female,60-64 years,64390
Gender and Age Group,Female,65-69 years,55530
Gender and Age Group,Female,70-74 years,57110
Gender and Age Group,Female,75-79 years,53780
Gender and Age Group,Female,80-84 years,54860
Gender and Age Group,Female,85-89 years,45330
Gender and Age Group,Female,90-94 years,26745
Gender and Age Group,Female,95 years or older,10545
Gender and Age Group,Male,0 years,61915
Gender and Age Group,Male,01-04 years,128765
Gender and Age Group,Male,05-09 years,76630
Gender and Age Group,Male,10-14 years,71155
Gender and Age Group,Male,15-19 years,60795
Gender and Age Group,Male,20-24 years,85590
Gender and Age Group,Male,25-29 years,103900
Gender and Age Group,Male,30-34 years,102805
Gender and Age Group,Male,35-39 years,93965
Gender and Age Group,Male,40-44 years,84475
Gender and Age Group,Male,45-49 years,82375
Gender and Age Group,Male,50-54 years,82570
Gender and Age Group,Male,55-59 years,75430
Gender and Age Group,Male,60-64 years,63725
Gender and Age Group,Male,65-69 years,54325
Gender and Age Group,Male,70-74 years,54155
Gender and Age Group,Male,75-79 years,48950
Gender and Age Group,Male,80-84 years,47010
Gender and Age Group,Male,85-89 years,35150
Gender and Age Group,Male,90-94 years,16315
Gender and Age Group,Male,95 years or older,5745
Gender and Age Group,Female,0 years,8761404
Gender and Age Group,Female,01-04 years,18017100
Gender and Age Group,Female,05-09 years,10169321
Gender and Age Group,Female,10-14 years,9870775
Gender and Age Group,Female,15-19 years,13623986
Gender and Age Group,Female,20-24 years,21569161
Gender and Age Group,Female,25-29 years,24946680
Gender and Age Group,Female,30-34 years,23524439
Gender and Age Group,Female,35-39 years,20612417
Gender and Age Group,Female,40-44 years,17674457
Gender and Age Group,Female,45-49 years,17348265
Gender and Age Group,Female,50-54 years,18352649
Gender and Age Group,Female,55-59 years,17022047
Gender and Age Group,Female,60-64 years,14698395
Gender and Age Group,Female,65-69 years,13609999
Gender and Age Group,Female,70-74 years,15226634
Gender and Age Group,Female,75-79 years,15394464
Gender and Age Group,Female,80-84 years,17024359
Gender and Age Group,Female,85-89 years,15104364
Gender and Age Group,Female,90-94 years,9437250
Gender and Age Group,Female,95 years or older,3877364
Gender and Age Group,Female,Unknown,228
Gender and Age Group,Male,0 years,11250522
Gender and Age Group,Male,01-04 years,23376389
Gender and Age Group,Male,05-09 years,12175860
Gender and Age Group,Male,10-14 years,12135646
Gender and Age Group,Male,15-19 years,11562857
Gender and Age Group,Male,20-24 years,16344719
Gender and Age Group,Male,25-29 years,19619206
Gender and Age Group,Male,30-34 years,19782325
Gender and Age Group,Male,35-39 years,18625656
Gender and Age Group,Male,40-44 years,17248763
Gender and Age Group,Male,45-49 years,17559399
Gender and Age Group,Male,50-54 years,18734023
Gender and Age Group,Male,55-59 years,17667478
Gender and Age Group,Male,60-64 years,15844656
Gender and Age Group,Male,65-69 years,14386687
Gender and Age Group,Male,70-74 years,15157518
Gender and Age Group,Male,75-79 years,14465683
Gender and Age Group,Male,80-84 years,14644420
Gender and Age Group,Male,85-89 years,11546033
Gender and Age Group,Male,90-94 years,5568050
Gender and Age Group,Male,95 years or older,1955843
Gender and Age Group,Male,Unknown,1300
Gender and Age Group,Female,0 years,23435
Gender and Age Group,Female,01-04 years,57990
Gender and Age Group,Female,05-09 years,39075
Gender and Age Group,Female,10-14 years,42935
Gender and Age Group,Female,15-19 years,60270
Gender and Age Group,Female,20-24 years,74345
Gender and Age Group,Female,25-29 years,69010
Gender and Age Group,Female,30-34 years,62395
Gender and Age Group,Female,35-39 years,53000
Gender and Age Group,Female,40-44 years,44010
Gender and Age Group,Female,45-49 years,48620
Gender and Age Group,Female,50-54 years,51500
Gender and Age Group,Female,55-59 years,47385
Gender and Age Group,Female,60-64 years,40505
Gender and Age Group,Female,65-69 years,36915
Gender and Age Group,Female,70-74 years,43935
Gender and Age Group,Female,75-79 years,43910
Gender and Age Group,Female,80-84 years,45475
Gender and Age Group,Female,85-89 years,39165
Gender and Age Group,Female,90-94 years,22605
Gender and Age Group,Female,95 years or older,8390
Gender and Age Group,Male,0 years,28885
Gender and Age Group,Male,01-04 years,75200
Gender and Age Group,Male,05-09 years,47365
Gender and Age Group,Male,10-14 years,52760
Gender and Age Group,Male,15-19 years,50975
Gender and Age Group,Male,20-24 years,62845
Gender and Age Group,Male,25-29 years,63635
Gender and Age Group,Male,30-34 years,59790
Gender and Age Group,Male,35-39 years,53185
Gender and Age Group,Male,40-44 years,47095
Gender and Age Group,Male,45-49 years,50285
Gender and Age Group,Male,50-54 years,50380
Gender and Age Group,Male,55-59 years,47910
Gender and Age Group,Male,60-64 years,41690
Gender and Age Group,Male,65-69 years,37740
Gender and Age Group,Male,70-74 years,43175
Gender and Age Group,Male,75-79 years,38740
Gender and Age Group,Male,80-84 years,37665
Gender and Age Group,Male,85-89 years,27460
Gender and Age Group,Male,90-94 years,13145
Gender and Age Group,Male,95 years or older,3465
Gender and Age Group,Male,Unknown,25
Gender and Age Group,Female,0 years,2817215
Gender and Age Group,Female,01-04 years,7267720
Gender and Age Group,Female,05-09 years,5132782
Gender and Age Group,Female,10-14 years,6007657
Gender and Age Group,Female,15-19 years,9420837
Gender and Age Group,Female,20-24 years,11478533
Gender and Age Group,Female,25-29 years,10959334
Gender and Age Group,Female,30-34 years,10195485
Gender and Age Group,Female,35-39 years,8893750
Gender and Age Group,Female,40-44 years,7607506
Gender and Age Group,Female,45-49 years,8713250
Gender and Age Group,Female,50-54 years,9427977
Gender and Age Group,Female,55-59 years,9100640
Gender and Age Group,Female,60-64 years,8191678
Gender and Age Group,Female,65-69 years,7927989
Gender and Age Group,Female,70-74 years,10080043
Gender and Age Group,Female,75-79 years,10682055
Gender and Age Group,Female,80-84 years,11729427
Gender and Age Group,Female,85-89 years,10685912
Gender and Age Group,Female,90-94 years,6389692
Gender and Age Group,Female,95 years or older,2405365
Gender and Age Group,Female,Unknown,653
Gender and Age Group,Male,0 years,3482720
Gender and Age Group,Male,01-04 years,9447233
Gender and Age Group,Male,05-09 years,6124799
Gender and Age Group,Male,10-14 years,7467748
Gender and Age Group,Male,15-19 years,8074329
Gender and Age Group,Male,20-24 years,9632682
Gender and Age Group,Male,25-29 years,10067917
Gender and Age Group,Male,30-34 years,9665858
Gender and Age Group,Male,35-39 years,8888631
Gender and Age Group,Male,40-44 years,8155761
Gender and Age Group,Male,45-49 years,9074107
Gender and Age Group,Male,50-54 years,9472719
Gender and Age Group,Male,55-59 years,9342691
Gender and Age Group,Male,60-64 years,8691355
Gender and Age Group,Male,65-69 years,8471657
Gender and Age Group,Male,70-74 years,10122062
Gender and Age Group,Male,75-79 years,9698757
Gender and Age Group,Male,80-84 years,9796438
Gender and Age Group,Male,85-89 years,7464788
Gender and Age Group,Male,90-94 years,3706488
Gender and Age Group,Male,95 years or older,977824
Gender and Age Group,Male,Unknown,5593
Gender and Age Group,Female,0 years,15335
Gender and Age Group,Female,01-04 years,38505
Gender and Age Group,Female,05-09 years,27850
Gender and Age Group,Female,10-14 years,28760
Gender and Age Group,Female,15-19 years,38895
Gender and Age Group,Female,20-24 years,48350
Gender and Age Group,Female,25-29 years,44360
Gender and Age Group,Female,30-34 years,39880
Gender and Age Group,Female,35-39 years,34360
Gender and Age Group,Female,40-44 years,27855
Gender and Age Group,Female,45-49 years,30160
Gender and Age Group,Female,50-54 years,32725
Gender and Age Group,Female,55-59 years,32115
Gender and Age Group,Female,60-64 years,28575
Gender and Age Group,Female,65-69 years,25460
Gender and Age Group,Female,70-74 years,28530
Gender and Age Group,Female,75-79 years,24980
Gender and Age Group,Female,80-84 years,25755
Gender and Age Group,Female,85-89 years,20285
Gender and Age Group,Female,90-94 years,10670
Gender and Age Group,Female,95 years or older,3715
Gender and Age Group,Female,Unknown,31020
Gender and Age Group,Male,0 years,19140
Gender and Age Group,Male,01-04 years,48230
Gender and Age Group,Male,05-09 years,30675
Gender and Age Group,Male,10-14 years,31265
Gender and Age Group,Male,15-19 years,30335
Gender and Age Group,Male,20-24 years,37400
Gender and Age Group,Male,25-29 years,37120
Gender and Age Group,Male,30-34 years,35560
Gender and Age Group,Male,35-39 years,31710
Gender and Age Group,Male,40-44 years,26495
Gender and Age Group,Male,45-49 years,28140
Gender and Age Group,Male,50-54 years,29380
Gender and Age Group,Male,55-59 years,29225
Gender and Age Group,Male,60-64 years,26790
Gender and Age Group,Male,65-69 years,24255
Gender and Age Group,Male,70-74 years,26230
Gender and Age Group,Male,75-79 years,21890
Gender and Age Group,Male,80-84 years,20550
Gender and Age Group,Male,85-89 years,14165
Gender and Age Group,Male,90-94 years,6075
Gender and Age Group,Male,95 years or older,1475
Gender and Age Group,Male,Unknown,29890
Gender and Age Group,Female,0 years,1417223
Gender and Age Group,Female,01-04 years,3778241
Gender and Age Group,Female,05-09 years,2650162
Gender and Age Group,Female,10-14 years,2938207
Gender and Age Group,Female,15-19 years,4481368
Gender and Age Group,Female,20-24 years,5117118
Gender and Age Group,Female,25-29 years,5083924
Gender and Age Group,Female,30-34 years,4741440
Gender and Age Group,Female,35-39 years,4382036
Gender and Age Group,Female,40-44 years,3545058
Gender and Age Group,Female,45-49 years,4165164
Gender and Age Group,Female,50-54 years,4637815
Gender and Age Group,Female,55-59 years,4770928
Gender and Age Group,Female,60-64 years,4690408
Gender and Age Group,Female,65-69 years,4547378
Gender and Age Group,Female,70-74 years,5683510
Gender and Age Group,Female,75-79 years,5499884
Gender and Age Group,Female,80-84 years,6304887
Gender and Age Group,Female,85-89 years,5352586
Gender and Age Group,Female,90-94 years,3096301
Gender and Age Group,Female,95 years or older,1085259
Gender and Age Group,Female,Unknown,4268101
Gender and Age Group,Male,0 years,1860042
Gender and Age Group,Male,01-04 years,4910767
Gender and Age Group,Male,05-09 years,3099135
Gender and Age Group,Male,10-14 years,3435340
Gender and Age Group,Male,15-19 years,3834553
Gender and Age Group,Male,20-24 years,4489260
Gender and Age Group,Male,25-29 years,4636107
Gender and Age Group,Male,30-34 years,4659669
Gender and Age Group,Male,35-39 years,4224678
Gender and Age Group,Male,40-44 years,3753004
Gender and Age Group,Male,45-49 years,4146469
Gender and Age Group,Male,50-54 years,4557664
Gender and Age Group,Male,55-59 years,4766303
Gender and Age Group,Male,60-64 years,4785687
Gender and Age Group,Male,65-69 years,4729761
Gender and Age Group,Male,70-74 years,5591909
Gender and Age Group,Male,75-79 years,5026147
Gender and Age Group,Male,80-84 years,5087671
Gender and Age Group,Male,85-89 years,3791049
Gender and Age Group,Male,90-94 years,1695583
Gender and Age Group,Male,95 years or older,433728
Gender and Age Group,Male,Unknown,4089870
Gender and Age Group,Female,0 years,11095
Gender and Age Group,Female,01-04 years,25195
Gender and Age Group,Female,05-09 years,16360
Gender and Age Group,Female,10-14 years,18705
Gender and Age Group,Female,15-19 years,19780
Gender and Age Group,Female,20-24 years,23990
Gender and Age Group,Female,25-29 years,22920
Gender and Age Group,Female,30-34 years,21310
Gender and Age Group,Female,35-39 years,17555
Gender and Age Group,Female,40-44 years,14560
Gender and Age Group,Female,45-49 years,15090
Gender and Age Group,Female,50-54 years,16400
Gender and Age Group,Female,55-59 years,16655
Gender and Age Group,Female,60-64 years,14475
